latitude,longitude,time_rel,gpsspeed
38.046256,-122.23652,134237,68.11487867
38.046437,-122.236261,134238,68.11748278
38.046618,-122.236002,134239,68.12187255
38.046802,-122.23574,134240,68.12745273
38.046985,-122.235478,134241,68.13065203
38.047168,-122.235218,134242,68.13504213
38.04735,-122.234961,134243,68.15557849
38.047533,-122.234703,134244,68.21421025
38.047715,-122.234442,134245,68.32767809
38.047897,-122.234179,134246,68.48995505
38.04808,-122.233918,134247,68.66361576
38.048263,-122.233658,134248,68.80193438
38.048444,-122.233399,134249,68.88593775
38.048627,-122.233138,134250,68.93110167
38.048811,-122.232873,134251,68.96101218
38.048995,-122.232612,134252,68.98444931
38.049182,-122.232351,134253,68.99255929
38.049367,-122.232094,134254,68.97455365
38.049553,-122.231832,134255,68.9381703
38.04974,-122.231571,134256,68.90416784
38.049926,-122.231307,134257,68.88184673
38.050109,-122.231044,134258,68.86651963
38.050291,-122.230783,134259,68.85268064
38.050476,-122.230519,134260,68.83534442
38.050661,-122.230255,134261,68.80535883
38.050845,-122.229994,134262,68.74501543
38.051028,-122.229734,134263,68.63132358
38.051213,-122.229474,134264,68.46048938
38.051397,-122.229211,134265,68.26792987
38.05158,-122.228946,134266,68.10982034
38.05176,-122.228685,134267,68.02462742
38.051937,-122.228422,134268,68.0129459
38.052115,-122.228158,134269,68.0478412
38.052294,-122.227894,134270,68.10051891
38.052476,-122.227632,134271,68.15014606
38.052657,-122.227371,134272,68.16502654
38.052839,-122.227111,134273,68.08615762
38.053021,-122.22685,134274,67.8464262
38.053204,-122.226589,134275,67.41004338
38.053386,-122.22633,134276,66.79248497
38.053569,-122.226075,134277,66.05334883
38.053757,-122.225828,134278,65.2831854
38.053954,-122.225602,134279,64.58690548
38.054161,-122.225406,134280,64.0470986
38.054379,-122.225233,134281,63.68035728
38.054607,-122.225082,134282,63.43497034
38.054842,-122.224952,134283,63.24367583
38.055086,-122.224845,134284,63.0738099
38.055334,-122.224765,134285,62.92931597
38.055585,-122.224715,134286,62.83236659
38.05584,-122.224692,134287,62.79546171
38.056094,-122.224696,134288,62.76250017
38.056349,-122.224714,134289,62.59717256
38.056604,-122.224743,134290,62.18913672
38.056858,-122.224771,134291,61.5372766
38.057114,-122.224799,134292,60.70818441
38.057366,-122.224824,134293,59.78058028
38.057611,-122.224852,134294,58.7910713
38.057855,-122.224874,134295,57.68839265
38.058098,-122.224898,134296,56.44769319
38.058333,-122.224925,134297,55.19516346
38.058564,-122.224951,134298,54.10528261
38.058793,-122.224972,134299,53.27328869
38.059012,-122.224998,134300,52.69241085
38.059229,-122.22502,134301,52.23333357
38.05944,-122.225042,134302,51.73229191
38.059652,-122.225065,134303,51.12938997
38.059862,-122.225088,134304,50.4029015
38.060069,-122.225105,134305,49.47790101
38.060272,-122.225124,134306,48.34040061
38.060471,-122.225145,134307,47.15498385
38.060669,-122.225166,134308,46.21019242
38.060861,-122.225186,134309,45.73288629
38.061043,-122.225204,134310,45.70066935
38.061221,-122.225218,134311,45.87343726
38.0614,-122.225232,134312,46.03958286
38.061584,-122.225248,134313,46.17179976
38.061761,-122.225266,134314,46.33623401
38.061941,-122.225281,134315,46.48593629
38.062126,-122.225295,134316,46.37693336
38.062312,-122.225308,134317,45.73943353
38.062499,-122.225325,134318,44.56071359
38.06269,-122.225341,134319,43.20260393
38.062875,-122.225357,134320,42.22492588
38.063051,-122.225371,134321,42.05327443
38.063219,-122.225385,134322,42.75349764
38.063386,-122.225402,134323,44.03891398
38.063553,-122.225418,134324,45.48348191
38.063727,-122.225434,134325,46.77098135
38.0639,-122.225452,134326,47.7388381
38.064083,-122.225469,134327,48.30699277
38.064273,-122.225487,134328,48.52924003
38.064467,-122.225497,134329,48.60684466
38.064659,-122.225517,134330,48.729985
38.064855,-122.225534,134331,48.95282744
38.065051,-122.225548,134332,49.17098202
38.065246,-122.225565,134333,49.18519295
38.065449,-122.225583,134334,48.88861525
38.065649,-122.2256,134335,48.37150206
38.065847,-122.225618,134336,47.77529685
38.066042,-122.225635,134337,47.13846668
38.066237,-122.225653,134338,46.45349652
38.066428,-122.225673,134339,45.74635367
38.066617,-122.225699,134340,45.00468707
38.066804,-122.225734,134341,44.14821405
38.06698,-122.225782,134342,43.15974702
38.067156,-122.225837,134343,42.19747031
38.06733,-122.225889,134344,41.55111594
38.067494,-122.225946,134345,41.42633877
38.067652,-122.226006,134346,41.71212714
38.067804,-122.226078,134347,42.00505864
38.067956,-122.226165,134348,41.83159656
38.068111,-122.226258,134349,40.81356615
38.068266,-122.226347,134350,38.80372017
38.068421,-122.226435,134351,36.0293155
38.068573,-122.226518,134352,33.06346727
38.068712,-122.226597,134353,30.59933035
38.068712,-122.226597,134354,29.2104663
38.068712,-122.226597,134355,29.18276305
38.068838,-122.226663,134356,30.44017891
38.068948,-122.226724,134357,32.60699456
38.069017,-122.226784,134358,35.17135481
38.069084,-122.22684,134359,37.70550665
38.069192,-122.226888,134360,40.05131517
38.069308,-122.226937,134361,42.26624566
